,full_text
1,"@ababio_antwi @halalhomer_ The Prophet stated killing one person amounts to killing humanity, feed the poor, take care of the sick, don't backbite, don't oppress &amp; don't be oppressed, honour you mother and father, don't eat pork, don't drink alcohol, don't gamble, dont deal in usary. Everything like Jesus"
2,"IMO people shame on you.  Hope Uzodinma is killing your children and men of honour and you’re here congratulating him.  Shame on you, men without paws. https://t.co/hqfa0S9RBZ"
3,"RT @FemicideIran: A young athlete brutally killed his favorite girl in so-called honor killing in Mahmoudabad. Anita, 17, was stabbed at he…"
4,"@NaveedN15624517 @Approve001 @GoldingBF The West has the same values as Moslems<U+0001F914>

L<U+0001F440>K at all the Islamic human rights violations.. FGM, Servitude, Child Marriage, Child Rape, Honour Killing, Domestic Violence, Incest, Inbreeding<U+0001F922><U+0001F92E>

The West forced Moslems (who rejected their failed culture &amp; begged off <U+0001F1EA><U+0001F1FA>) 2 change"
5,"@vpvidrohi @INCIndia gyan mat pelo.
Honour killing ka samarthan karne wale haryanvi budhhe. Confidence dagmaga gaya,tum logo ne iss desh ko 50 saal piche kar rakha hai.
Chunauti sweekar karo...nahi to bekar ka gyan mat pelo.tumhare ghar wale 2 paise ki izzat nahi dete twitter par tumhe izzat chahiye."
6,"@y_s_khan @fasi_zaka He was a very respected judge, he gave death sentences in cases of honour killing,dowry deaths,had a very tough stand on issues related to women.
Had a very good reputation and was seen as incorruptible.
Pr aese aadmi bakchod h."
7,@ZelenskyyUa Ukraine government none the better!! Soon the world will honour all those lives lost in this war!! Stop killing your ppl!
8,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
9,@Popatkhabri @GemsOfINDOLOGY Honour killing is only in desert cuIts. Not in Bharata.
10,"@AyoCaesar Racist Pakistani paedophiles &amp; Islam is the <U+0001F4A9>est religion &amp; worst human rights violating culture on earth<U+0001F914>

L<U+0001F440>K at all the Islamic human rights violations.. FGM, Servitude, Child Marriage, Child Rape, Honour Killing, Domestic Violence, Incest, Inbreeding<U+0001F922><U+0001F92E>"
11,"@AyoCaesar South Asain Indians are friends of the true British

South Asain Moslems grooming gangs are the enemy of the English, Jewish &amp; Indians

Everyone hates your human rights violating culture inc FGM, Forced Child Marriage, Honour Killing, Domestic Violence, Inbreeding &amp; Incest <U+0001F922><U+0001F92E>"
12,"@ArticRoll666 @Bushra1Shaikh When a brown man kills an ex partner its an ""honour killing"". When a white man kills an ex partner, its a domestic violence killing. 

Same crime, but reported differently due to racist reporters. Fact. 

Don't come crying at me when it's your racist media reporting issues"
13,"RT @dhanashree0110: This is exactly how they use 1 state template to smear all Hindus, how dowry, honour killing and family violence cases…"
14,"After seeing a few things I have concluded that one should never trust straight people ever, eod they consider you a disease and whatnot. If there is a different circumstance they would never think twice to eliminate you. Be it anyone honour killing is also possible."
15,Eight nabbed for honour killing of a #Dalit in Nalgonda https://t.co/EMeRXxmXlL
16,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
17,Lmao org mcm tok memang nyokong honour killing ku rasa. Disgusting https://t.co/JWBrOJItPH
18,"This is exactly how they use 1 state template to smear all Hindus, how dowry, honour killing and family violence cases are labelled as Indian, where it is clearly the issue with a particular cultural spread across India and Pakistan."
19,"@NOELreports While azov fighter been looting, torturing, raping, killing even beheading civilians. We honour them with bravery, patriotic, even warrior. Where is the logic behind that?"
20,RT @xlntgson: @mohdmthrfucker @KarlStrel @AJEnglish death sentence for apostasy is not a rule exception for cross marriages honour killing…
21,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
22,"@Kryptos_Nation @TheTravele7 @Ghost_of_Twita @MrOdanz @lollypeezle I no dey do all these arguments for public because this is Nigeria. That pronouncement is in Sahih Hadiths directly from the Prophet. It was done by the rightly guided Caliphs. That should be basic Islamic knowledge.
It's still been done today in Islamic regions (Honour killing)."
23,"RT @IPXakachi: AAAYY I had the amazing honour to draw for Hakka's KiLLiNG ME cover--!!<U+0001F34F> 

I love this song and I had so much fun drawing th…"
24,"@m2kapa @JalalAK_jojo Correct human rights is  right to Genocide …abuse your children than  use them as shields ..honour killing” and the right to be evil 

<U+0001F921>"
25,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
26,"RT @FemicideIran: Mahintaj Ansari, a 41-yr-old woman was stabbed to death by her 45-year-old husband in her home in Tehran .  According to…"
27,"RT @PunjwaniKumar: Either it's Karo Kari (Honour Killing) or Forced Conversion, SINDHI Women are the direct victims.
@AuratMarchKHI @HRCP87…"
28,"RT @ParrhesiaNous: @MiniMooJack These people are backward facing, its like South Asian honour killing on steroids.
https://t.co/EcT9pDUwGb"
29,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
30,"@MiniMooJack These people are backward facing, its like South Asian honour killing on steroids.
https://t.co/EcT9pDUwGb"
31,Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahmana priests of the local temple after Hindu warriors had died fighting in defence of the fort at Kondapalli.
32,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
33,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
34,"RT @animalsavemvmt: Watch ‘There Was A Killing’ by Shaun Monson, a documentary about the tragic killing of Canadian animal rights activist…"
35,@AnitaAnandMP @Denys_Shmyhal @JustinTrudeau @cafreeland Fighting another country's war causing massive death is not a value of Canada. Peace is a value we should honour. Stop funding this senseless war with our tax money and push for a settlement. Stop the killing machine!
36,"@DefensePolitics Dropping grenades on enemy combatants is completely allowed. EVEN if they are wounded. Killing a prisoner of war is NOT allowed. Yes, the pain might be comparable, but killing a surrendering soldier has 0 honour and breaks the rules of war."
37,@augureust Revive the practice of killing those who stain your family's honour
38,"RT @ImaadSkywalker: However, decades of corruption, poverty, honour killing, s***ual assault of women and children, and terrorism has never…"
39,"@Chai_Coffee_etc @_ambedkarite It's nothing wrong in marriage, but here in chhattisgarh, this leads honour killing mainly in rural."
40,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
41,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
42,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
43,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
